fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 095153	-0.512327866041174	1207	552	18	5	9424000	37
20220408 101826	-0.38966461287564	1194	565	20	5	9399000	88
20220408 103100	-0.256241121632405	3528	929	20	5	9382000	114
20220408 094740	-0.998844931970888	117	4	5	5	9377000	29
20220408 093519	-0.289711754546442	4535	543	9	5	9365000	3
20220408 093635	-0.034406855009729	4218	837	19	5	9365000	6
20220408 101217	-0.0530167402919163	6464	400	20	5	9363000	76
20220408 095302	-0.976414522200824	2648	1324	15	5	9359000	39
20220408 101959	-0.657323742578166	2007	652	14	5	9345000	91
20220408 095754	-0.657078553028164	4172	1080	20	5	9335000	49
20220408 095045	-0.570044928790579	24	1	5	5	9311000	35
20220408 103030	-0.070359847592131	5231	586	20	5	9307000	113
20220408 093451	-0.540886588406283	3544	1010	6	5	9293000	2
20220408 101315	-0.512511878268265	1202	584	7	5	9283000	78
20220408 101629	-0.570173949204017	1816	634	14	5	9235000	84
20220408 102632	-0.0499230683349207	1497	743	20	5	9221000	104
20220408 100930	-0.400785140400114	5734	793	20	5	9199000	71
20220408 093953	-0.0871365572500508	5597	1259	6	5	9163000	14
20220408 100845	-0.999815718946705	5051	1082	12	5	9112000	69
20220408 100148	-0.940350403462449	4996	1005	20	5	9105000	57
20220408 093605	-0.229809910776385	6650	1530	8	5	9097000	5
20220408 095720	-0.86664140021154	1643	815	18	5	9086000	48
20220408 094848	-0.118376197187864	12	5	3	5	9068000	32
20220408 102715	-0.895353994838053	1603	5	3	5	9068000	106
20220408 094810	-0.99901343814123	2610	1301	9	5	9037000	30
20220408 094501	-0.882396260851265	3228	1612	20	5	9023000	24
20220408 093738	-0.902917595111649	6085	125	12	5	9016000	9
20220408 094042	-0.417829001625068	2345	838	4	5	9016000	16
20220408 094351	-0.550073700878727	1612	350	3	5	8990000	22
20220408 100003	-0.985404559192974	4523	356	3	5	8990000	54
20220408 101716	-0.988277622222266	1552	425	3	5	8990000	86
20220408 093540	-0.0406521482582319	7692	441	5	5	8985000	4
20220408 094024	-0.319835655757924	7349	638	20	5	8985000	15
20220408 101146	-0.734591538748459	7446	530	19	5	8985000	75
20220408 100331	-0.26398308703868	175	77	3	5	8980000	60
20220408 102301	-0.395682346833724	219	67	3	5	8980000	97
20220408 100951	-0.730745390912026	4381	1409	5	5	8957000	72
20220408 093836	-0.773743206608924	7099	1739	15	5	8870000	11
20220408 095407	-0.134711282601925	3746	1864	20	5	8703000	41
20220408 095606	-0.630465870755199	3747	1873	9	5	8703000	45
20220408 100448	-0.747412096447739	440	220	12	5	8560000	62
