Feature	Gain	Cover	Frequency
ctransferencias_recibidas	0.00287301613751582	0.0108092068520419	0.008199121522694
mplazo_fijo_dolares	0.00278503426948155	0.0134470229314431	0.00336749633967789
Master_msaldopesos	0.00258803574313738	0.00428377238093516	0.00702781844802343
tcuentas	0.002572157247602	0.0011889975113287	0.00131771595900439
Visa_mpagado	0.00251172656082751	0.0070727188755528	0.00775988286969253
Master_mpagominimo	0.00233142646637984	0.00369236741968359	0.00556368960468521
Visa_cconsumos	0.00228819007658959	0.00388325989038905	0.00746705710102489
ctarjeta_visa_debitos_automaticos	0.00205375995862878	0.00351167499553748	0.00424597364568082
ctarjeta_debito	0.00201306581708418	0.00731567442720209	0.00453879941434846
Visa_msaldototal	0.00200452862601701	0.00342436490394675	0.00571010248901903
ctarjeta_debito_trx	0.00198459566823742	0.00996598103211536	0.00453879941434846
Master_fultimo_cierre	0.00195889620958389	0.00234873786164593	0.00322108345534407
mtransferencias_emitidas	0.0019503933644741	0.00338929091509125	0.00790629575402635
Visa_mconsumosdolares	0.00180528212711784	0.00551315812185505	0.0061493411420205
Visa_Finiciomora	0.00169684082558172	0.0133943995894605	0.00468521229868228
Visa_msaldodolares	0.001652695991691	0.00687870377346933	0.00453879941434846
tpaquete7	0.00159407918309496	0.00806410078371044	0.00278184480234261
Visa_mpagosdolares	0.0015057254160744	0.00909081209384422	0.00366032210834553
ccuenta_debitos_automaticos	0.00147463257146829	0.00282528930994337	0.00336749633967789
ccallcenter_trx	0.00139392975485663	0.02584433089363	0.00922401171303075
ctransferencias_emitidas	0.00139306066656738	0.00166740276453394	0.00278184480234261
mcaja_ahorro_adicional	0.00126067706595276	0.00990100722988034	0.00380673499267936
mtarjeta_master_consumo	0.00126066626559366	0.00356325196763883	0.00322108345534407
thomebanking	0.00118803409352379	0.00271355018923435	0.00131771595900439
cprestamos_personales	0.00118377032768288	0.00113627529975098	0.00263543191800878
mautoservicio	0.00118019105241121	0.00486340362123899	0.00541727672035139
mtarjeta_visa_descuentos	0.00113638047190995	0.0205991011353154	0.00951683748169839
cpagomiscuentas	0.00102087633864902	0.00212843168640344	0.0020497803806735
cseguro_accidentes_personales	0.000984426185471386	0.00311701228936708	0.00117130307467057
Master_cconsumos	0.000982433585291443	0.00194443536995499	0.00380673499267936
Master_msaldototal	0.000947199119418135	0.00320503918552216	0.00468521229868228
matm	0.000926244204593942	0.00219484733690008	0.00366032210834553
Master_mconsumospesos	0.000808961758080271	0.00336848710445931	0.00512445095168375
ccheques_depositados	0.000801626458749411	0.0223612704067359	0.0061493411420205
ctarjeta_master_trx	0.000733441029307182	0.00120255088498792	0.00190336749633968
active_quarter	0.000731591816448143	0.00231034350222224	0.00102489019033675
mcheques_depositados	0.000710657360239743	0.00954865247127231	0.00380673499267936
Master_mpagado	0.000673543452569106	0.0168856744918793	0.00468521229868228
tcallcenter	0.000662917415751885	0.00113450388617242	0.00131771595900439
cplazo_fijo	0.000642009508180713	0.0012706226012022	0.00102489019033675
ccomisiones_mantenimiento	0.000559235309084782	0.0013827736785574	0.00146412884333821
catm_trx	0.00050930371994342	0.000929711998224961	0.00131771595900439
internet	0.000492447562793402	0.000844305146339566	0.00102489019033675
mdescubierto_preacordado	0.000469042831082679	0.00557490218398404	0.00146412884333821
mextraccion_autoservicio	0.000420868525668141	0.00127137236229824	0.00322108345534407
Master_mpagosdolares	0.00041229753126686	0.011128044817917	0.0061493411420205
Visa_delinquency	0.000364894031259419	0.00237641310913609	0.00102489019033675
Master_mconsumototal	0.000293261696147643	0.000387807747578014	0.00102489019033675
ctarjeta_master_debitos_automaticos	0.000255145566675921	0.00129913000111764	0.00102489019033675
cseguro_vivienda	0.000253034692072114	0.000691312687082387	0.000878477306002928
tpaquete9	0.000248116882477243	0.00603230588736718	0.00161054172767204
Visa_fultimo_cierre	0.000238789618397865	0.00106831893139764	0.00131771595900439
cseguro_vida	0.000170294571701537	0.000407911231911447	0.000439238653001464
tmobile_app	0.000141288226423718	0.0011866164019138	0.000585651537335286
mpagodeservicios	0.000123590738126477	0.0033306447669415	0.000585651537335286
Master_msaldodolares	0.000120261723044848	0.000498821824589766	0.000292825768667643
mttarjeta_master_debitos_automaticos	0.000113786441304279	0.00124824511618187	0.00117130307467057
cextraccion_autoservicio	0.000110344236308303	0.000192062427580596	0.00102489019033675
mcheques_emitidos	9.56774658246514e-05	0.000205104974998557	0.000146412884333821
mtarjeta_master_descuentos	9.22238500331076e-05	0.00183576120669352	0.00117130307467057
mcajeros_propios_descuentos	8.88379263111745e-05	0.00086285143455045	0.000439238653001464
matm_other	8.8520309355404e-05	0.000186138491008572	0.000146412884333821
mforex_sell	8.80891414810437e-05	0.000420080431239513	0.000585651537335286
ctarjeta_visa_descuentos	7.77733693883095e-05	0.00478141600951686	0.00131771595900439
Visa_status	6.82431711222213e-05	0.000409715602021702	0.000292825768667643
cinversion2	6.76676545970869e-05	9.64967248004781e-05	0.000146412884333821
ccajas_consultas	6.57614882338017e-05	0.000457510812111146	0.000585651537335286
Master_status	4.70073478282193e-05	0.000187588578403115	0.000585651537335286
catm_trx_other	4.42280347289721e-05	0.000372482960340233	0.000146412884333821
Master_mconsumosdolares	2.83494483840838e-05	0.000125053559513461	0.000292825768667643
ccajas_extracciones	2.34854687473293e-05	0.000117053361444706	0.000146412884333821
cforex_sell	1.6727226270268e-05	9.65132030663251e-05	0.000146412884333821
cforex	1.20041950301573e-05	0.000385047638048629	0.000146412884333821
tpaquete1	1.04845553203226e-05	0.000139027128951782	0.000146412884333821
Visa_mconsumototal	2.9990463396805e-06	1.25646777083956e-05	0.000146412884333821
