fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 110102	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	179	TRUE	0,057887894	0,958743941	1925	835	0,017897018	0,967512474	99,14456508	0,016897062	13354000	119
20220423 103359	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	242	TRUE	0,048003773	0,916694852	942	232	0,051856074	5,076025544	92,31667156	0,014567117	13340000	70
20220423 105918	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	38	TRUE	0,274319462	0,941647643	1697	630	0,053808987	5,319014672	29,72904586	0,012923539	13336000	117
20220423 111816	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	46	TRUE	0,153708286	0,935778219	506	17	0,04243039	0,550987668	65,4271082	0,012077913	13331000	143
20220423 114959	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	80	TRUE	0,218660993	0,820646401	7302	939	0,023834523	1,868949589	34,66887095	0,01698788	13319000	208
20220423 104422	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	217	TRUE	0,077484173	0,828699497	2348	400	0,048908677	5,765407646	72,70544226	0,0145217	13315000	83
20220423 110013	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	341	TRUE	0,094747557	0,966399246	5646	996	0,125734167	0,585512072	82,78396744	0,013038373	13283000	118
20220423 103454	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	387	TRUE	0,059732023	0,953289486	7754	36	0,104707548	3,51631422	27,1190243	0,014860655	13282000	71
20220423 105517	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	129	TRUE	0,195239373	0,97640789	2400	980	0,047300731	2,938751085	99,80171484	0,017274139	13279000	108
20220423 105208	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	230	TRUE	0,173697045	0,227701867	7239	250	0,002461291	4,488761929	28,54209438	0,014175067	13265000	98
20220423 113119	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	41	TRUE	0,29570167	0,645011218	5506	29	0,246124155	0,081162658	80,04738928	0,018636032	13256000	173
20220423 105532	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	43	TRUE	0,246641234	0,844278718	3046	750	0,083817431	5,203529633	99,92995844	0,015516561	13244000	109
20220423 113634	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	105	TRUE	0,232638822	0,526654459	6350	783	0,031383711	0,438452626	94,02581338	0,014052492	13244000	185
20220423 113551	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	204	TRUE	0,141911973	0,333253566	7680	907	0,024888982	6,923096316	81,67220845	0,014664901	13243000	183
20220423 104058	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	305	TRUE	0,062547285	0,921352408	2385	338	0,032075296	5,436300413	48,08026762	0,017719417	13233000	78
20220423 105551	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	34	TRUE	0,214749906	0,901426786	799	981	0,029498805	6,66028845	99,48318259	0,013343901	13218000	110
20220423 110135	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	137	TRUE	0,078883921	0,993879666	5481	888	0,042447023	0,080224829	39,01454926	0,018873336	13213000	120
20220423 101747	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	533	TRUE	0,022086108	0,204881681	1447	492	0,126775228	14,5312427	46,69207421	0,01856614	13197000	51
20220423 104638	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	42	TRUE	0,234479718	0,558904692	1357	21	0,032100728	7,701123974	24,205733	0,013500565	13197000	88
20220423 103923	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	64	TRUE	0,166711986	0,997788302	2654	216	0,054157749	4,616033802	44,32533055	0,014536747	13195000	75
20220423 103256	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	345	TRUE	0,034729614	0,918544051	6969	385	0,10647924	5,00742132	96,21701845	0,014280435	13180000	69
20220423 103901	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	768	TRUE	0,01361775	0,203377209	2592	422	0,025423164	3,161839911	89,30752323	0,019026158	13171000	74
20220423 102121	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	124	TRUE	0,112201187	0,231598554	4451	480	0,001569448	11,15000592	53,86212296	0,017745619	13157000	56
20220423 105758	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	71	TRUE	0,238065641	0,911832509	179	786	0,010355064	0,228030612	81,20530482	0,017352529	13142000	113
20220423 102002	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	327	TRUE	0,024729852	0,410991487	4059	445	0,049506524	6,714585167	43,49132711	0,016231744	13138000	54
20220423 102600	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	77	TRUE	0,122521973	0,472755597	2929	340	0,038642441	0,192132647	93,95805399	0,017386474	13136000	61
20220423 105130	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	139	TRUE	0,080469155	0,301495949	7704	175	0,046338392	1,484903284	3,925214629	0,014014982	13118000	97
20220423 112602	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	70	TRUE	0,19563047	0,588585057	7515	955	0,114221517	0,020245979	85,02967596	0,020711266	13113000	153
