fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 225424	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	69	TRUE	0.0798381782787541	0.462730262150877	4105	152	0.0150905669995341	13335000	55
20220418 225440	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	67	TRUE	0.18316952358088	0.200099297155226	7999	886	0.0129554242175183	13052000	56
20220418 225721	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	865	TRUE	0.010029499063052	0.397976632093437	7997	454	0.0166981105781952	13543000	57
20220418 225913	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	431	TRUE	0.0110581664177192	0.87608723296444	4470	828	0.0182583553178346	13176000	58
20220418 225928	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	44	TRUE	0.167992868694695	0.60888302645334	7998	697	0.0200649718682431	12991000	59
20220418 230224	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	667	TRUE	0.0101284703835561	0.486083049542285	4697	188	0.0142934275971914	13752000	60
20220418 230433	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	596	TRUE	0.0101266124197577	0.777753553869032	2872	19	0.0195560041157027	12992000	61
20220418 230642	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	719	TRUE	0.0107545453352714	0.213655439393665	7203	564	0.0221483659320111	12896000	62
20220418 230654	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	20	TRUE	0.223240421320122	0.971943127780282	7999	866	0.0155547367666445	13152000	63
20220418 230709	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	25	TRUE	0.240897006926254	0.595727331447788	4598	762	0.0155618228025739	12812000	64
20220418 230735	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	88	TRUE	0.0553053489026252	0.800678022465296	5833	797	0.0148518041047688	13575000	65
20220418 230758	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	106	TRUE	0.0767847029319692	0.997926995310719	7997	564	0.0156473097932241	13465000	66
20220418 230843	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	184	TRUE	0.0375271148990877	0.859520277277797	7999	1024	0.0157340834833427	13366000	67
20220418 231120	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	459	TRUE	0.0120601151026172	0.55246478214917	4264	640	0.0147393835543124	14010000	68
20220418 231131	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	29	TRUE	0.228407161616357	0.200880254167854	7997	524	0.015937098724498	12764000	69
20220418 231419	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	1166	TRUE	0.0104995755368763	0.999803498808859	7666	747	0.0162471068808183	13340000	70
20220418 231436	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	51	TRUE	0.123913511602536	0.998822904015549	8000	1023	0.0239302737273945	12331000	71
20220418 231548	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	167	TRUE	0.0245507469428187	0.568034208375587	4385	749	0.0150700482814036	13600000	72
20220418 231958	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	879	TRUE	0.0102144263374714	0.329597043749957	4189	556	0.0143782409483194	13925000	73
20220418 232242	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	963	TRUE	0.0102253947255199	0.920781262236296	7995	16	0.0151158945602681	13196000	74
