fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 204045	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	505	TRUE	0.010338044429435	0.662644769931052	7992	25	0.0194091694257004	13167000	81
20220423 204103	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	19	TRUE	0.258638368845596	0.340529162131442	4988	526	0.0192058279584451	12609000	82
20220423 204442	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	922	TRUE	0.010411162470613	0.202182815515633	4921	1024	0.0136713160603182	13219000	83
20220423 204458	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	20	TRUE	0.221718213477427	0.626522092832305	7999	1023	0.0183553624934727	13371000	84
20220423 204856	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	557	TRUE	0.0103832127280683	0.999809141563577	2677	1007	0.0152360311590083	13700000	85
20220423 205108	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	60	TRUE	0.0295923994885226	0.99968737349791	777	1008	0.0135919093358277	13506000	86
20220423 205607	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	766	TRUE	0.010057277891891	0.280771499788404	2339	293	0.0151985680562214	13786000	87
20220423 205941	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	618	TRUE	0.0106494617492359	0.975188664162866	3442	55	0.0157793743577774	13603000	88
20220423 210338	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	516	TRUE	0.01015876546496	0.384467091651532	2886	1023	0.0162230168770812	13558000	89
20220423 210716	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	242	TRUE	0.010382743776069	0.835254046977979	1729	849	0.0146521962433655	13728000	90
20220423 211129	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	995	TRUE	0.0102863616410651	0.200486319091374	4082	1016	0.0201718713625767	13329000	91
20220423 211648	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	648	TRUE	0.0102333611452332	0.245822275010915	1676	242	0.0137056659549207	13959000	92
20220423 211709	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	103	TRUE	0.299007113880758	0.201239373703342	1662	16	0.0141041855002855	11901000	93
20220423 211911	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	554	TRUE	0.0105551694992286	0.830657205432127	2827	16	0.0147367932356931	13519000	94
20220423 212314	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	386	TRUE	0.0101199082381613	0.639123525291472	1927	1024	0.0171864727684378	13566000	95
20220423 212330	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	0	0	0	31	26	TRUE	0.27671678562634	0.802788104931792	7999	437	0.0173900949346517	13597000	96
