min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
50	5	0.001	6	39.19	0
50	5	0.001	8	51.07	0
50	5	0.001	10	62.48	0
50	5	0.001	15	83.31	0
50	5	0.001	20	95.09	0
50	5	0.002	4	28.15	0
50	5	0.002	6	39.6	0
50	5	0.002	8	50.29	0
50	5	0.002	10	59.75	0
50	5	0.002	15	76.12	0
50	5	0.002	20	85.53	0
50	5	0.003	4	28.12	0
50	5	0.003	6	39.26	0
50	5	0.003	8	49.05	0
50	5	0.003	10	57.77	0
50	5	0.003	15	70.59	0
50	5	0.003	20	78.04	0
50	5	0.004	4	27.69	0
50	5	0.004	6	39.26	0
50	5	0.004	8	47.31	0
50	5	0.004	10	53.5	0
50	5	0.004	15	65.35	0
50	5	0.004	20	69.24	0
50	5	0.005	4	28.21	0
50	5	0.005	6	37.59	0
50	5	0.005	8	45.38	0
50	5	0.005	10	50.88	0
50	5	0.005	15	61.89	0
50	5	0.005	20	63.54	0
50	5	0.006	4	27.5	0
50	5	0.006	6	36.7	0
50	5	0.006	8	44.05	0
50	5	0.006	10	49.45	0
50	5	0.006	15	58.57	0
50	5	0.006	20	59.74	0
50	5	0.007	4	27.76	0
50	5	0.007	6	36.04	0
50	5	0.007	8	43.2	0
50	5	0.007	10	49.02	0
50	5	0.007	15	55.48	0
50	5	0.007	20	57.31	0
50	5	0.008	4	27.82	0
50	5	0.008	6	36.26	0
50	5	0.008	8	43.08	0
50	5	0.008	10	48.39	0
50	5	0.008	15	53.96	0
50	5	0.008	20	55.05	0
50	5	0.009	4	27.91	0
50	5	0.009	6	35.22	0
50	5	0.009	8	41.73	0
50	5	0.009	10	46.55	0
50	5	0.009	15	51.43	0
50	5	0.009	20	51.24	0
50	5	0.01	4	28.67	0
50	5	0.01	6	36.05	0
50	5	0.01	8	42.37	0
50	5	0.01	10	47.15	0
50	5	0.01	15	50.74	0
50	5	0.01	20	50.75	0
50	12	-1	4	28.89	8939333
50	12	-1	6	41.62	10130000
50	12	-1	8	53.09	9385333
50	12	-1	10	65.42	7997333
50	12	-1	15	87.44	5477333
50	12	-1	20	100.25	3895333
