min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
650	50	0	3	23:45:32	23:46:39	67.0241370201111	0
800	50	0	3	23:45:32	23:46:39	67.0761060714722	0
500	50	0	3	23:45:32	23:46:40	67.382933139801	0
600	50	0	3	23:45:32	23:46:40	67.4049129486084	0
850	50	0	3	23:46:41	23:47:46	64.3380949497223	0
50	75	0	3	23:46:41	23:47:47	65.2825558185577	0
900	50	0	3	23:46:41	23:47:47	65.5993690490723	0
25	75	0	3	23:46:41	23:47:48	66.2390048503876	0
100	75	0	3	23:46:41	23:47:48	66.6517698764801	0
150	75	0	3	23:46:41	23:47:48	66.8276691436768	0
950	50	0	3	23:46:41	23:47:48	66.9425959587097	0
1000	50	0	3	23:46:41	23:47:48	66.9685809612274	0
300	75	0	3	23:47:50	23:48:56	65.405483007431	0
200	75	0	3	23:47:50	23:48:56	65.7732729911804	0
250	75	0	3	23:47:50	23:48:56	65.8582210540771	0
550	75	0	3	23:47:50	23:48:57	67.0005688667297	0
350	75	0	3	23:47:50	23:48:58	67.1714680194855	0
400	75	0	3	23:47:50	23:48:58	67.1914591789246	0
450	75	0	3	23:47:50	23:48:58	67.2484259605408	0
500	75	0	3	23:47:50	23:48:58	67.4403150081635	0
900	75	0	3	23:48:59	23:50:04	64.1931829452515	0
850	75	0	3	23:48:59	23:50:04	64.3091180324554	0
950	75	0	3	23:49:00	23:50:05	65.1696200370789	0
750	75	0	3	23:48:59	23:50:06	66.0331289768219	0
700	75	0	3	23:48:59	23:50:06	66.2629909515381	0
600	75	0	3	23:48:59	23:50:06	66.6007969379425	0
800	75	0	3	23:48:59	23:50:06	66.7257318496704	0
650	75	0	3	23:48:59	23:50:06	66.8586480617523	0
200	100	0	3	23:50:08	23:51:15	66.8886330127716	0
1000	75	0	3	23:50:08	23:51:16	68.0219829082489	0
150	100	0	3	23:50:08	23:51:16	68.4637279510498	0
300	100	0	3	23:50:08	23:51:16	68.5476770401001	0
25	100	0	3	23:50:08	23:51:17	68.8015329837799	0
250	100	0	3	23:50:08	23:51:17	68.8075280189514	0
50	100	0	3	23:50:08	23:51:17	68.956444978714	0
100	100	0	3	23:50:08	23:51:17	69.0703799724579	0
450	100	0	3	23:51:18	23:52:23	65.1226389408112	0
500	100	0	3	23:51:18	23:52:25	66.4378929138184	0
700	100	0	3	23:51:18	23:52:25	66.6777529716492	0
650	100	0	3	23:51:18	23:52:25	67.0935139656067	0
550	100	0	3	23:51:18	23:52:25	67.1075041294098	0
600	100	0	3	23:51:18	23:52:26	67.392343044281	0
400	100	0	3	23:51:18	23:52:26	67.3923401832581	0
350	100	0	3	23:51:18	23:52:26	67.6891739368439	0
900	100	0	3	23:52:28	23:53:33	65.6713299751282	0
850	100	0	3	23:52:28	23:53:34	66.2619950771332	0
1000	100	0	3	23:52:28	23:53:34	66.5018558502197	0
800	100	0	3	23:52:28	23:53:34	66.7657029628754	0
25	10	1e-04	3	23:52:28	23:53:35	66.8726418018341	0
950	100	0	3	23:52:28	23:53:35	67.162477016449	0
750	100	0	3	23:52:28	23:53:35	67.208447933197	0
50	10	1e-04	3	23:52:28	23:53:35	67.2454259395599	0
400	10	1e-04	3	23:53:37	23:54:42	65.4894330501556	0
250	10	1e-04	3	23:53:37	23:54:43	65.7762742042542	0
200	10	1e-04	3	23:53:37	23:54:44	66.8856289386749	0
300	10	1e-04	3	23:53:37	23:54:44	67.0755228996277	0
450	10	1e-04	3	23:53:37	23:54:44	67.2664139270782	0
150	10	1e-04	3	23:53:37	23:54:44	67.3313820362091	0
350	10	1e-04	3	23:53:37	23:54:45	67.5762350559235	0
100	10	1e-04	3	23:53:37	23:54:45	67.714154958725	0
800	10	1e-04	3	23:54:46	23:55:52	65.3615040779114	0
550	10	1e-04	3	23:54:46	23:55:52	65.9181818962097	0
850	10	1e-04	3	23:54:46	23:55:53	66.8586480617523	0
500	10	1e-04	3	23:54:46	23:55:53	66.8876321315765	0
