fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220422 200807	0	0	0	1	hist	lossguide	256	0	1	0.252769994741604	0.724971192194661	10	260	0.0171766870787512	329	13463000	96
20220422 200850	0	0	0	1	hist	lossguide	256	0	1	0.089122921691988	0.530656971558821	9	227	0.0177664140186301	150	12637000	97
20220422 201139	0	0	0	1	hist	lossguide	256	0	1	0.0464111021417762	0.684447538898871	7	420	0.0187276028747904	977	13345000	98
20220422 201249	0	0	0	1	hist	lossguide	256	0	1	0.0923790477215903	0.352291459908617	4	903	0.0143969586651106	341	12976000	99
20220422 201403	0	0	0	1	hist	lossguide	256	0	1	0.129342891119721	0.579870761461218	10	2	0.0195292761341395	393	13768000	100
20220422 201519	0	0	0	1	hist	lossguide	256	0	1	0.189968701213476	0.996286690274376	10	941	0.0173834395512231	412	13644000	101
20220422 201806	0	0	0	1	hist	lossguide	256	0	1	0.0519305264365741	0.391998695575411	10	752	0.0185425907812378	979	13479000	102
20220422 201910	0	0	0	1	hist	lossguide	256	0	1	0.100633387158176	0.625729049816746	7	2	0.0152419104185748	312	13519000	103
20220422 202153	0	0	0	1	hist	lossguide	256	0	1	0.05057212591113	0.790070973705058	6	674	0.0184867754616466	941	13277000	104
20220422 202508	0	0	0	1	hist	lossguide	256	0	1	0.0287482328299604	0.463394834800833	9	454	0.0180327433782744	1109	13163000	105
20220422 202600	0	0	0	1	hist	lossguide	256	0	1	0.129504874569335	0.647031995751329	9	3	0.0146318121698016	245	13041000	106
20220422 202650	0	0	0	1	hist	lossguide	256	0	1	0.0832384945954598	0.775196657951274	6	314	0.0126369880058029	206	13091000	107
20220422 202748	0	0	0	1	hist	lossguide	256	0	1	0.135754177977067	0.623152539679315	8	2	0.0141727603004525	283	13350000	108
20220422 202901	0	0	0	1	hist	lossguide	256	0	1	0.074982805245609	0.9319192265932	7	376	0.0144957574119765	365	13292000	109
20220422 202938	0	0	0	1	hist	lossguide	256	0	1	0.218826724590238	0.915155510557163	5	819	0.0141225108224608	147	12986000	110
20220422 203039	0	0	0	1	hist	lossguide	256	0	1	0.211841652405279	0.865752210155949	10	748	0.0179627579768203	318	13671000	111
20220422 203111	0	0	0	1	hist	lossguide	256	0	1	0.225601221985762	0.487472497169078	8	376	0.017799239642664	111	12910000	112
20220422 203245	0	0	0	1	hist	lossguide	256	0	1	0.109423538950116	0.628712493351407	7	2	0.0206891000080001	528	13504000	113
20220422 203355	0	0	0	1	hist	lossguide	256	0	1	0.180631903031528	0.581296439365104	10	821	0.0194629346062808	370	13521000	114
20220422 203456	0	0	0	1	hist	lossguide	256	0	1	0.143578430291986	0.579762604831816	10	2	0.0203970345921569	311	13441000	115
20220422 203523	0	0	0	1	hist	lossguide	256	0	1	0.211711666097568	0.942767397560365	6	365	0.0119454826190176	71	12751000	116
20220422 203557	0	0	0	1	hist	lossguide	256	0	1	0.121582206579828	0.734060383948281	10	19	0.0182277619453577	113	12874000	117
20220422 203705	0	0	0	1	hist	lossguide	256	0	1	0.103721891679918	0.798653016837971	6	962	0.015368084856875	330	13305000	118
20220422 203817	0	0	0	1	hist	lossguide	256	0	1	0.1289185321756	0.409304116233336	6	4	0.0192499903018658	370	13321000	119
20220422 204024	0	0	0	1	hist	lossguide	256	0	1	0.0785566566038232	0.530518766464102	9	2	0.0188862651665113	716	13423000	120
